service_id,date,exception_type
052-53-1415062024-B#G,20240605,2
056-197-0835102024-WTB#AMD,20241003,2
056-197-0835102024-WTB#AMD,20241009,2
056-197-0835102024-WTB#AMD,20241016,2
056-197-0835102024-WTB#AMD,20241023,2
056-50-1815102024-AMD#DO,20241010,2
056-50-1815102024-AMD#DO,20241017,2
056-50-1815102024-AMD#DO,20241024,2
056-70-0930102024-AMD#DO,20241010,2
056-70-0930102024-AMD#DO,20241017,2
056-70-0930102024-AMD#DO,20241024,2
056-71-0420102024-DO#AMD,20241003,2
056-73-0410102024-DO#AMD,20241010,2
056-73-0410102024-DO#AMD,20241017,2
056-73-0410102024-DO#AMD,20241024,2
056-74-1015102024-AMD#DO,20241003,2
056-80-1300102024-AMD#DO,20241003,2
056-80-1300102024-AMD#DO,20241009,2
056-80-1300102024-AMD#DO,20241016,2
056-80-1300102024-AMD#DO,20241023,2
056-81-0610102024-DO#AMD,20241010,2
056-81-0610102024-DO#AMD,20241017,2
056-81-0610102024-DO#AMD,20241024,2
056-82-1300102024-AMD#DO,20241010,2
056-82-1300102024-AMD#DO,20241017,2
056-82-1300102024-AMD#DO,20241024,2
056-85-0650102024-DO#AMD,20241003,2
056-85-0650102024-DO#AMD,20241009,2
056-85-0650102024-DO#AMD,20241016,2
056-85-0650102024-DO#AMD,20241023,2
056-86-1545102024-AMD#DO,20241010,2
056-86-1545102024-AMD#DO,20241017,2
056-86-1545102024-AMD#DO,20241024,2
056-87-1000102024-DO#AMD,20241010,2
056-87-1000102024-DO#AMD,20241017,2
056-87-1000102024-DO#AMD,20241024,2
056-88-1645102024-AMD#DO,20241003,2
056-97-1100102024-DO#AMD,20241002,2
056-99-1340102024-DO#AMD,20241010,2
056-99-1340102024-DO#AMD,20241017,2
056-99-1340102024-DO#AMD,20241024,2
060-1-0500092024-WIG#B,20240911,2
060-1-0500092024-WIG#B,20240912,2
060-1-0500092024-WIG#B,20240918,2
060-1-0500092024-WIG#B,20240919,2
060-1-0500092024-WIG#B,20240925,2
060-1-0500092024-WIG#B,20240926,2
060-2-0410092024-BAX#WIG,20240910,2
060-2-0410092024-BAX#WIG,20240911,2
060-2-0410092024-BAX#WIG,20240917,2
060-2-0410092024-BAX#WIG,20240918,2
060-2-0410092024-BAX#WIG,20240924,2
060-2-0410092024-BAX#WIG,20240925,2
065-1-0630102024-BAX#L,20241009,2
065-1-0630102024-BAX#L,20241010,2
065-1-0630102024-BAX#L,20241016,2
065-1-0630102024-BAX#L,20241017,2
065-1-0630102024-BAX#L,20241023,2
065-1-0630102024-BAX#L,20241024,2
065-11-1230082024-BAX#L,20240820,2
065-11-1230082024-BAX#L,20240821,2
065-11-1230082024-BAX#L,20240827,2
065-11-1230082024-BAX#L,20240828,2
065-16-1630102024-L#BAX,20241008,2
065-16-1630102024-L#BAX,20241009,2
065-16-1630102024-L#BAX,20241015,2
065-16-1630102024-L#BAX,20241016,2
065-16-1630102024-L#BAX,20241022,2
065-16-1630102024-L#BAX,20241023,2
068-1-1030082024-PRA#F,20240827,2
068-1-1030082024-PRA#F,20240828,2
068-2-0700082024-F#PRA,20240828,2
068-2-0700082024-F#PRA,20240829,2
075-70-0550112024-HGW#AMD,20241108,2
075-70-0550112024-HGW#AMD,20241115,2
075-70-0550112024-HGW#AMD,20241122,2
075-70-0550112024-HGW#AMD,20241129,2
076-3-0800072024-M#MIO,20240702,2
076-3-0800072024-M#MIO,20240703,2
076-8-0930072024-MIO#M,20240703,2
076-8-0930072024-MIO#M,20240704,2
081-32-1230072024-BNO#H,20240702,2
081-32-1230072024-BNO#H,20240703,2
081-32-1230082024-BNO#H,20240827,2
081-32-1230082024-BNO#H,20240828,2
081-61-0400072024-H#BNO,20240702,2
081-61-0400072024-H#BNO,20240703,2
081-61-0400082024-H#BNO,20240827,2
081-61-0400082024-H#BNO,20240828,2
090-3-0600072024-F#PQB,20240702,2
090-3-0600072024-F#PQB,20240703,2
090-3-0600102024-F#PQB,20241008,2
090-3-0600102024-F#PQB,20241009,2
090-3-0600102024-F#PQB,20241015,2
090-3-0600102024-F#PQB,20241016,2
090-4-1215072024-PQB#F,20240703,2
090-4-1215072024-PQB#F,20240704,2
090-4-1215102024-PQB#F,20241002,2
090-4-1215102024-PQB#F,20241009,2
090-4-1215102024-PQB#F,20241010,2
090-4-1215102024-PQB#F,20241016,2
090-4-1215102024-PQB#F,20241017,2
091-3-2015112024-BUD#PQB,20241111,2
091-3-2015112024-BUD#PQB,20241112,2
091-3-2015112024-BUD#PQB,20241118,2
091-3-2015112024-BUD#PQB,20241119,2
091-3-2015112024-BUD#PQB,20241125,2
091-3-2015112024-BUD#PQB,20241126,2
091-4-1000112024-PQB#BUD,20241112,2
091-4-1000112024-PQB#BUD,20241113,2
091-4-1000112024-PQB#BUD,20241119,2
091-4-1000112024-PQB#BUD,20241120,2
091-4-1000112024-PQB#BUD,20241126,2
091-4-1000112024-PQB#BUD,20241127,2
095-12-1300102024-M#BZM,20241008,2
095-12-1300102024-M#BZM,20241009,2
095-12-1300102024-M#BZM,20241015,2
095-12-1300102024-M#BZM,20241016,2
095-12-1300102024-M#BZM,20241022,2
095-12-1300102024-M#BZM,20241023,2
095-25-0620102024-BZM#M,20241008,2
095-25-0620102024-BZM#M,20241009,2
095-25-0620102024-BZM#M,20241015,2
095-25-0620102024-BZM#M,20241016,2
095-25-0620102024-BZM#M,20241022,2
095-25-0620102024-BZM#M,20241023,2
095-47-1420102024-BZM#M,20241010,2
095-47-1420102024-BZM#M,20241017,2
095-47-1420102024-BZM#M,20241024,2
095-8-0715102024-M#BZM,20241011,2
095-8-0715102024-M#BZM,20241018,2
095-8-0715102024-M#BZM,20241025,2
096-1-0300082024-GRJ#WIW,20240815,2
096-108-0430082024-WIW#GRJ,20240815,2
096-13-0600082024-GRJ#WIW,20240815,2
096-276-2115082024-WIK#GRJ,20240802,2
096-276-2115082024-WIK#GRJ,20240809,2
096-276-2115082024-WIK#GRJ,20240815,2
096-276-2115082024-WIK#GRJ,20240823,2
096-278-2130082024-WIK#GRJ,20240808,2
096-278-2130082024-WIK#GRJ,20240816,2
096-278-2130082024-WIK#GRJ,20240822,2
