route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,bikes_allowed,ticketing_trip_id,ticketing_type
001,001-35-1530112024-FR#M-00,001-35-1530112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1630102024-FR#M-00,001-35-1630102024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1630112024-FR#M-00,001-35-1630112024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-35-1630122024-FR#M-00,001-35-1630122024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-38-1505062024-M#FR-00,001-38-1505062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1505072024-M#FR-00,001-38-1505072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1505082024-M#FR-00,001-38-1505082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1505092024-M#FR-00,001-38-1505092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1505102024-M#FR-00,001-38-1505102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1535062024-M#FR-00,001-38-1535062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1535072024-M#FR-00,001-38-1535072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1535082024-M#FR-00,001-38-1535082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1535092024-M#FR-00,001-38-1535092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1535102024-M#FR-00,001-38-1535102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1605102024-M#FR-00,001-38-1605102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1605112024-M#FR-00,001-38-1605112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1605122024-M#FR-00,001-38-1605122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1635102024-M#FR-00,001-38-1635102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1635112024-M#FR-00,001-38-1635112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-38-1635122024-M#FR-00,001-38-1635122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,,,,,1
001,001-5-0830062024-FR#M-00,001-5-0830062024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-5-0830072024-FR#M-00,001-5-0830072024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
001,001-5-0830082024-FR#M-00,001-5-0830082024-FR#M,,,,1,,9a9e0967bb51ab13a76807ec6e5c5ea3,,,,,1
